OUTPUT,iso3c,production_system,food_type,source,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
ANL_FHA_FO..INL,ANL,FHA,FO,INL,ANL_FHA_FO..INL = ANL_FH_FO*ANL_FHA_QP..INL/(ANL_FH_QP-ANL_FH_CR-ANL_FH_OU),Scalar TS,Numeric,0.950970656,0.632138745,1.407301797,1.520439542,1.416423518,1.505852985,0.912106262,1.20801426,1.341485565,1.512139802,1.634754192,1.746094564,1.867851089,1.98059994,2.100420006,2.214220346,2.321854774,2.457022549,2.595233624,2.726910573,2.904912364
ANL_FHA_FO..MAR,ANL,FHA,FO,MAR,ANL_FHA_FO..MAR = ANL_FH_FO*ANL_FHA_QP..MAR/(ANL_FH_QP-ANL_FH_CR-ANL_FH_OU),Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANL_FHC_FO..INL,ANL,FHC,FO,INL,ANL_FHC_FO..INL = ANL_FH_FO*ANL_FHC_QP..INL/(ANL_FH_QP-ANL_FH_CR-ANL_FH_OU),Scalar TS,Numeric,38.51431157,25.60161918,8.256170544,10.45594577,10.74121168,9.949600914,7.296850094,6.722465131,7.109839955,6.259139159,4.98851128,4.515432164,4.022727475,3.468433154,2.889845843,2.864501693,2.903990666,2.972786212,3.336990274,3.712113439,4.098521769
ANL_FHC_FO..MAR,ANL,FHC,FO,MAR,"ANL_FHC_FO..MAR = ANL_FH_FO*(ANL_FHC_QP..MAR-ANL_FH_CR-ANL_FH_OU)/(ANL_FH_
QP-ANL_FH_CR-ANL_FH_OU)",Scalar TS,Numeric,65.87278637,80.50634597,62.93622514,50.61262539,63.19113849,65.24753422,70.5930722,77.70028252,80.99192266,86.42093331,84.5670468,87.90872899,91.60242372,94.68806456,97.95476934,100.1930965,101.9188252,104.6748973,107.0523808,109.3595941,111.6202635
ARG_FHA_FO..INL,ARG,FHA,FO,INL,ARG_FHA_FO..INL = ARG_FH_FO*ARG_FHA_QP..INL/(ARG_FH_QP-ARG_FH_CR-ARG_FH_OU),Scalar TS,Numeric,0.70552247,0.870069359,0.933449498,1.291937377,1.200122448,1.371642205,1.262867336,1.355059609,1.189970564,1.158366568,1.213329134,1.270693954,1.29981898,1.322172114,1.34678417,1.378394752,1.406893838,1.444601048,1.482407609,1.515669396,1.573366733
ARG_FHA_FO..MAR,ARG,FHA,FO,MAR,ARG_FHA_FO..MAR = ARG_FH_FO*ARG_FHA_QP..MAR/(ARG_FH_QP-ARG_FH_CR-ARG_FH_OU),Scalar TS,Numeric,0.064709528,0.113329979,0.030969157,0.014343021,0.004212318,0.018983879,0.016367001,0.008407594,0.005220298,0.004652075,0.004872808,0.005103189,0.005220157,0.005309928,0.005408772,0.005535722,0.005650176,0.005801611,0.005953444,0.006087026,0.006318742
ARG_FHC_FO..INL,ARG,FHC,FO,INL,ARG_FHC_FO..INL = ARG_FH_FO*ARG_FHC_QP..INL/(ARG_FH_QP-ARG_FH_CR-ARG_FH_OU),Scalar TS,Numeric,4.481787708,5.635086851,4.669170839,4.194650658,4.386828144,7.170211075,6.57779316,8.428231076,7.532143663,6.190260517,6.460176628,6.632556449,6.713776469,6.819932513,6.863859955,6.889973243,6.891643094,6.929676925,7.641282497,8.35242399,9.063998531
ARG_FHC_FO..MAR,ARG,FHC,FO,MAR,"ARG_FHC_FO..MAR = ARG_FH_FO*(ARG_FHC_QP..MAR-ARG_FH_CR-ARG_FH_OU)/(ARG_FH_
QP-ARG_FH_CR-ARG_FH_OU)",Scalar TS,Numeric,231.0678582,238.6720125,235.9311846,293.1505188,245.3229836,301.9993429,256.4158819,310.698824,303.9656236,303.3227653,316.5486548,324.995266,328.975047,334.1766931,336.3291378,337.6086889,337.6905116,339.5541693,340.3224013,340.829181,341.167784
ASA_FHA_FO..INL,ASA,FHA,FO,INL,ASA_FHA_FO..INL = ASA_FH_FO*ASA_FHA_QP..INL/(ASA_FH_QP-ASA_FH_CR-ASA_FH_OU),Scalar TS,Numeric,187.0423376,188.5178378,194.8529988,214.2164327,198.3341482,199.9477702,210.0943322,193.9304323,201.8148491,204.8582607,210.4788337,215.2479977,221.2160469,225.8305839,231.7286695,237.1842136,241.4325689,246.1215573,250.824814,255.8093545,260.5988715
ASA_FHA_FO..MAR,ASA,FHA,FO,MAR,ASA_FHA_FO..MAR = ASA_FH_FO*ASA_FHA_QP..MAR/(ASA_FH_QP-ASA_FH_CR-ASA_FH_OU),Scalar TS,Numeric,271.8869596,291.6184247,312.7546486,302.3380828,289.0962692,311.7276051,288.766361,309.7674302,311.6456876,317.9331687,328.4693935,338.3655511,350.6938177,361.7310084,375.0194037,387.7901102,398.8180126,410.0157783,421.2377013,431.0856518,445.6452833
