OUTPUT,iso3c,production_system,food_type,source,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
ANL_FHA_FO..INL,ANL,FHA,FO,INL,ANL_FHA_FO..INL = ANL_FH_FO*ANL_FHA_QP..INL/(ANL_FH_QP-ANL_FH_CR-ANL_FH_OU),Scalar TS,Numeric,0.950970656,0.632138745,1.407301797,1.520439542,1.416423518,1.505852985,0.912106262,1.20801426,1.341485565,1.512139802,1.606639088,1.698794839,1.799856284,1.888245997,1.979812817,2.061342699,2.133031929,2.22584854,2.318604134,2.410989946,2.498236876
ANL_FHA_FO..MAR,ANL,FHA,FO,MAR,ANL_FHA_FO..MAR = ANL_FH_FO*ANL_FHA_QP..MAR/(ANL_FH_QP-ANL_FH_CR-ANL_FH_OU),Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANL_FHC_FO..INL,ANL,FHC,FO,INL,ANL_FHC_FO..INL = ANL_FH_FO*ANL_FHC_QP..INL/(ANL_FH_QP-ANL_FH_CR-ANL_FH_OU),Scalar TS,Numeric,38.51431157,25.60161918,8.256170544,10.45594577,10.74121168,9.949600914,7.296850094,6.722465131,7.109839955,6.259139159,4.914077634,4.401978491,3.885702232,3.31837066,2.738357157,2.687380112,2.696761796,2.732420966,3.038020625,3.348631714,3.657012822
ANL_FHC_FO..MAR,ANL,FHC,FO,MAR,"ANL_FHC_FO..MAR = ANL_FH_FO*(ANL_FHC_QP..MAR-ANL_FH_CR-ANL_FH_OU)/(ANL_FH_
QP-ANL_FH_CR-ANL_FH_OU)",Scalar TS,Numeric,65.87278637,80.50634597,62.93622514,50.61262539,63.19113849,65.24753422,70.5930722,77.70028252,80.99192266,86.42093331,82.86683982,84.82168087,87.15702813,88.828034,90.61743182,91.3709238,91.61372136,92.74880605,93.57048496,94.33534804,94.86720396
ARG_FHA_FO..INL,ARG,FHA,FO,INL,ARG_FHA_FO..INL = ARG_FH_FO*ARG_FHA_QP..INL/(ARG_FH_QP-ARG_FH_CR-ARG_FH_OU),Scalar TS,Numeric,0.70552247,0.870069359,0.933449498,1.291937377,1.200122448,1.371642205,1.262867336,1.355059609,1.189970564,1.158366568,1.146118703,1.166755597,1.161582281,1.148771487,1.137016823,1.129600817,1.117976659,1.11220447,1.105706602,1.09878816,1.08954389
ARG_FHA_FO..MAR,ARG,FHA,FO,MAR,ARG_FHA_FO..MAR = ARG_FH_FO*ARG_FHA_QP..MAR/(ARG_FH_QP-ARG_FH_CR-ARG_FH_OU),Scalar TS,Numeric,0.064709528,0.113329979,0.030969157,0.014343021,0.004212318,0.018983879,0.016367001,0.008407594,0.005220298,0.004652075,0.004602886,0.004685765,0.004664989,0.00461354,0.004566333,0.004536549,0.004489866,0.004466685,0.004440589,0.004412804,0.004375678
ARG_FHC_FO..INL,ARG,FHC,FO,INL,ARG_FHC_FO..INL = ARG_FH_FO*ARG_FHC_QP..INL/(ARG_FH_QP-ARG_FH_CR-ARG_FH_OU),Scalar TS,Numeric,4.481787708,5.635086851,4.669170839,4.194650658,4.386828144,7.170211075,6.57779316,8.428231076,7.532143663,6.190260517,6.40338207,6.528833194,6.57530211,6.642728831,6.649341356,6.636215777,6.597109924,6.592082047,7.228323779,7.85851527,8.467711955
ARG_FHC_FO..MAR,ARG,FHC,FO,MAR,"ARG_FHC_FO..MAR = ARG_FH_FO*(ARG_FHC_QP..MAR-ARG_FH_CR-ARG_FH_OU)/(ARG_FH_
QP-ARG_FH_CR-ARG_FH_OU)",Scalar TS,Numeric,231.0678582,238.6720125,235.9311846,293.1505188,245.3229836,301.9993429,256.4158819,310.698824,303.9656236,303.3227653,313.7657214,319.9128265,322.1898034,325.4937127,325.8177264,325.1745731,323.2583863,323.0120203,321.9303183,320.6747318,318.723631
ASA_FHA_FO..INL,ASA,FHA,FO,INL,ASA_FHA_FO..INL = ASA_FH_FO*ASA_FHA_QP..INL/(ASA_FH_QP-ASA_FH_CR-ASA_FH_OU),Scalar TS,Numeric,187.0423376,188.5178378,194.8529988,214.2164327,198.3341482,199.9477702,210.0943322,193.9304323,201.8148491,204.8582607,207.3646001,210.5576159,214.796221,217.4478226,221.1257633,224.047171,225.4348508,226.8031211,228.1975711,229.7443898,230.9374194
ASA_FHA_FO..MAR,ASA,FHA,FO,MAR,ASA_FHA_FO..MAR = ASA_FH_FO*ASA_FHA_QP..MAR/(ASA_FH_QP-ASA_FH_CR-ASA_FH_OU),Scalar TS,Numeric,271.8869596,291.6184247,312.7546486,302.3380828,289.0962692,311.7276051,288.766361,309.7674302,311.6456876,317.9331687,322.5826345,327.7557478,335.5069751,341.7813157,350.0486668,357.4014283,362.7561985,367.7602031,372.3541443,376.1072869,379.3443842
ASA_FHC_FO..INL,ASA,FHC,FO,INL,ASA_FHC_FO..INL = ASA_FH_FO*ASA_FHC_QP..INL/(ASA_FH_QP-ASA_FH_CR-ASA_FH_OU),Scalar TS,Numeric,67.67143156,77.99679376,88.09481588,82.39067183,87.87333638,88.07516848,108.4451526,114.565421,123.6882615,126.6002071,132.3597224,136.1067588,142.5235616,149.6591615,156.2924322,162.9379543,169.1836768,176.4472687,188.4593466,200.6170888,212.551139
ASA_FHC_FO..MAR,ASA,FHC,FO,MAR,"ASA_FHC_FO..MAR = ASA_FH_FO*(ASA_FHC_QP..MAR-ASA_FH_CR-ASA_FH_OU)/(ASA_FH_
QP-ASA_FH_CR-ASA_FH_OU)",Scalar TS,Numeric,1813.641758,1967.113572,1966.335293,1932.94235,2010.351271,1994.756095,1954.080678,1959.231567,1993.555982,2025.891033,2038.829536,2016.053368,2035.899288,2053.986767,2061.53061,2068.197624,2069.035414,2081.378201,2088.872606,2096.051027,2099.272305
ASC_FHA_FO..INL,ASC,FHA,FO,INL,ASC_FHA_FO..INL = ASC_FH_FO*ASC_FHA_QP..INL/(ASC_FH_QP-ASC_FH_CR-ASC_FH_OU),Scalar TS,Numeric,24.74653587,36.54139506,57.80054067,74.56968638,79.68724209,79.98201854,81.48714248,93.41358516,74.86713764,80.75438813,97.01102881,102.3548467,107.2949244,112.1018913,117.3127874,122.7592607,127.6701911,132.736048,137.8079433,142.5540325,146.8710287
ASC_FHA_FO..MAR,ASC,FHA,FO,MAR,ASC_FHA_FO..MAR = ASC_FH_FO*ASC_FHA_QP..MAR/(ASC_FH_QP-ASC_FH_CR-ASC_FH_OU),Scalar TS,Numeric,0,0,0,0,0,0.086108958,0.110070534,0.125535646,0.113834516,0.122723822,0.151041943,0.159228184,0.166739095,0.174018061,0.181977334,0.190270703,0.197736317,0.205467171,0.213206676,0.220429233,0.226973209
ASC_FHC_FO..INL,ASC,FHC,FO,INL,ASC_FHC_FO..INL = ASC_FH_FO*ASC_FHC_QP..INL/(ASC_FH_QP-ASC_FH_CR-ASC_FH_OU),Scalar TS,Numeric,37.04452892,54.92445182,64.17876619,68.63722198,67.89597844,68.76804895,65.98178155,61.48009106,48.25245717,50.08910729,52.10708027,52.98703845,53.48324928,54.05144797,54.75099048,55.44784509,56.1125271,56.70011245,57.73854437,58.81046589,59.66720153
ASC_FHC_FO..MAR,ASC,FHC,FO,MAR,"ASC_FHC_FO..MAR = ASC_FH_FO*(ASC_FHC_QP..MAR-ASC_FH_CR-ASC_FH_OU)/(ASC_FH_
QP-ASC_FH_CR-ASC_FH_OU)",Scalar TS,Numeric,47.39568631,35.42239733,20.26238054,20.54355105,27.63043437,27.11571085,40.83891984,59.50766243,96.16804577,95.60264322,100.6881175,103.2060973,104.9856375,106.9105846,109.1023387,111.2974862,113.4361159,115.4252289,116.9460644,118.5112089,119.6212646
ASL_FHA_FO..INL,ASL,FHA,FO,INL,ASL_FHA_FO..INL = ASL_FH_FO*ASL_FHA_QP..INL/(ASL_FH_QP-ASL_FH_CR-ASL_FH_OU),Scalar TS,Numeric,1955.254018,2160.073224,2426.347366,2617.408667,2794.260093,2978.567659,3116.244996,3228.453608,3452.177387,3516.416403,3634.278537,3762.362369,3876.85744,3991.005738,4124.467496,4261.964232,4411.013446,4590.201051,4703.431924,4867.655222,5022.787917
ASL_FHA_FO..MAR,ASL,FHA,FO,MAR,ASL_FHA_FO..MAR = ASL_FH_FO*ASL_FHA_QP..MAR/(ASL_FH_QP-ASL_FH_CR-ASL_FH_OU),Scalar TS,Numeric,186.2637438,186.6261658,195.3001203,207.7240177,223.6596531,226.7907352,260.484753,261.6657652,231.9878223,255.7834748,268.0523346,260.3379299,261.2045263,267.3006803,273.8969195,281.7845074,288.7637104,295.4920877,298.2496437,304.2333849,309.5952832
ASL_FHC_FO..INL,ASL,FHC,FO,INL,ASL_FHC_FO..INL = ASL_FH_FO*ASL_FHC_QP..INL/(ASL_FH_QP-ASL_FH_CR-ASL_FH_OU),Scalar TS,Numeric,2170.133053,2173.386586,2128.429647,2229.904536,2301.001801,2354.714499,2416.895999,2480.190996,2543.622528,2443.354401,2410.616356,2434.47648,2462.862362,2490.463471,2518.078114,2545.994333,2572.656004,2601.609526,2633.547402,2664.939021,2695.846309
ASL_FHC_FO..MAR,ASL,FHC,FO,MAR,"ASL_FHC_FO..MAR = ASL_FH_FO*(ASL_FHC_QP..MAR-ASL_FH_CR-ASL_FH_OU)/(ASL_FH_
QP-ASL_FH_CR-ASL_FH_OU)",Scalar TS,Numeric,1575.087698,1547.913331,1581.351202,1469.554149,1544.812374,1529.366277,1554.952268,1607.869283,1458.273537,1487.837791,1463.577294,1478.412619,1500.573279,1520.632482,1539.4216,1556.513056,1568.271039,1583.793827,1595.33536,1605.711568,1614.577486
AUS_FHA_FO..INL,AUS,FHA,FO,INL,AUS_FHA_FO..INL = AUS_FH_FO*AUS_FHA_QP..INL/(AUS_FH_QP-AUS_FH_CR-AUS_FH_OU),Scalar TS,Numeric,3.944924067,3.479351695,3.255265517,3.586780087,3.560885254,3.844117707,4.154167274,4.43923913,4.586573976,4.228737178,4.316306412,4.255327665,4.218470114,4.180629178,4.140579118,4.134667002,4.116914223,4.099680503,4.119373184,4.138722723,4.164595298
AUS_FHA_FO..MAR,AUS,FHA,FO,MAR,AUS_FHA_FO..MAR = AUS_FH_FO*AUS_FHA_QP..MAR/(AUS_FH_QP-AUS_FH_CR-AUS_FH_OU),Scalar TS,Numeric,215.1614882,211.4968645,240.4564767,238.9948689,227.4669456,238.8395917,247.8668497,262.1220073,276.49475,279.422043,278.4471806,287.883114,301.037814,316.5235477,331.5107785,341.2424849,352.507677,361.0703559,367.6242887,374.0560336,378.5403234
AUS_FHC_FO..INL,AUS,FHC,FO,INL,AUS_FHC_FO..INL = AUS_FH_FO*AUS_FHC_QP..INL/(AUS_FH_QP-AUS_FH_CR-AUS_FH_OU),Scalar TS,Numeric,4.083729314,3.186725618,3.313577069,3.533163614,3.847453093,3.011618294,2.679685824,3.445342418,2.924103521,3.135834007,3.075368319,3.063835919,3.068937008,3.072762446,3.074379995,3.101000252,3.118562524,3.136255585,4.236589948,5.367426725,6.539559882
AUS_FHC_FO..MAR,AUS,FHC,FO,MAR,"AUS_FHC_FO..MAR = AUS_FH_FO*(AUS_FHC_QP..MAR-AUS_FH_CR-AUS_FH_OU)/(AUS_FH_
QP-AUS_FH_CR-AUS_FH_OU)",Scalar TS,Numeric,397.9647637,400.7219271,369.3219209,380.3595068,389.3578631,345.4056616,368.0192733,363.4316927,372.9553208,366.642665,385.2241473,381.5161319,385.2277609,385.9411367,386.1564461,388.5841526,387.3509459,390.0499383,394.6693226,399.1184789,403.83553
BRA_FHA_FO..INL,BRA,FHA,FO,INL,BRA_FHA_FO..INL = BRA_FH_FO*BRA_FHA_QP..INL/(BRA_FH_QP-BRA_FH_CR-BRA_FH_OU),Scalar TS,Numeric,481.4360958,555.2130445,607.4175831,672.3156572,772.0696291,736.0509418,773.3506374,790.1940254,771.5694468,768.9796883,820.6879203,844.4464259,864.9972165,886.4560744,905.2399447,924.0561144,941.4240792,961.7655623,983.8907419,1005.750192,1028.130805
BRA_FHA_FO..MAR,BRA,FHA,FO,MAR,BRA_FHA_FO..MAR = BRA_FH_FO*BRA_FHA_QP..MAR/(BRA_FH_QP-BRA_FH_CR-BRA_FH_OU),Scalar TS,Numeric,125.6177093,139.7095174,156.7723315,143.7532281,141.1571467,138.5328556,122.0297195,124.4001838,111.7342702,104.8697413,120.2899272,123.6291277,131.2266101,136.8335857,143.617619,149.0465288,153.8772971,158.8687033,162.2766359,167.2090146,172.0317909
BRA_FHC_FO..INL,BRA,FHC,FO,INL,BRA_FHC_FO..INL = BRA_FH_FO*BRA_FHC_QP..INL/(BRA_FH_QP-BRA_FH_CR-BRA_FH_OU),Scalar TS,Numeric,366.4383981,374.6577477,376.487874,408.1062944,381.7028622,342.5262914,341.3220272,345.7166111,328.3699818,305.3602422,317.0073219,316.1985789,318.2013403,320.0473084,321.8677503,323.7822473,324.389845,325.0246706,327.0599935,328.8660298,330.1436089
BRA_FHC_FO..MAR,BRA,FHC,FO,MAR,"BRA_FHC_FO..MAR = BRA_FH_FO*(BRA_FHC_QP..MAR-BRA_FH_CR-BRA_FH_OU)/(BRA_FH_
QP-BRA_FH_CR-BRA_FH_OU)",Scalar TS,Numeric,712.9275378,739.4795624,777.2073244,729.5524653,728.066198,637.6423771,643.2579419,642.9213007,640.0404133,608.2935914,612.1817766,608.143615,615.4610772,619.5232748,623.4111282,626.5389296,624.9028524,627.5448097,627.4583245,626.7292112,624.372465
CAN_FHA_FO..INL,CAN,FHA,FO,INL,CAN_FHA_FO..INL = CAN_FH_FO*CAN_FHA_QP..INL/(CAN_FH_QP-CAN_FH_CR-CAN_FH_OU),Scalar TS,Numeric,6.31063933,5.962842685,6.205612534,6.857740534,7.538561017,7.299864203,8.754698402,8.860088053,9.135927846,8.605829422,9.095503602,9.205391131,9.550674698,9.80519227,10.17107339,10.39866462,10.68885632,10.95872395,11.26024802,11.51569337,11.73912535
