"scientific_name","common_name","genus","category","family","order","production_sector","broad_category","nutrient","value"
"sarda sarda","atlantic bonito","sarda","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",4.1788125
"sardina pilchardus","european pilchard(=sardine)","sardina","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",2.31957142857143
"sardinella aurita","round sardinella","sardinella","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",1.4
"sardinella maderensis","madeiran sardinella","sardinella","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",1.52
"sardinops sagax","australian pilchard","sardinops","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",3.8125
"sardinops sagax","california pilchard","sardinops","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",3.8125
"sardinops sagax","japanese pilchard","sardinops","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",3.8125
"sardinops sagax","south american pilchard","sardinops","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",3.8125
"sardinops sagax","southern african pilchard","sardinops","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",3.8125
"scomber japonicus","pacific chub mackerel","scomber","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",3.2064
"scomber scombrus","atlantic mackerel","scomber","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",2.02627272727273
"scomberomorus cavalla","king mackerel","scomberomorus","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",0.5
"selar crumenophthalmus","bigeye scad","selar","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",1.1
"seriola dumerili","greater amberjack","seriola","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.6
"thunnus alalunga","albacore","thunnus","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",0.833333333333333
"thunnus albacares","yellowfin tuna","thunnus","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",2.82608333333333
"thunnus obesus","bigeye tuna","thunnus","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",1.55
"thunnus thynnus","atlantic bluefin tuna","thunnus","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",1.97666666666667
"trachinotus carolinus","florida pompano","trachinotus","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.6
"trachurus symmetricus","pacific jack mackerel","trachurus","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",2.02
"trachurus trachurus","atlantic horse mackerel","trachurus","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",3.85944545454545
"xiphias gladius","swordfish","xiphias","Pelagic Fish","xiphiidae","perciformes","import","Marine areas","Iron",1.4475675
"brachyura","marine crabs nei","brachyura","Crustaceans",NA,"brachyura","Capture production","Marine areas","Iron",2.58061538461538
"parapenaeus longirostris","deep-water rose shrimp","parapenaeus","Crustaceans","penaeidae","natantia","Capture production","Marine areas","Iron",7.18626666666667
"scyllarides latus","mediterranean slipper lobster","scyllarides","Crustaceans","scyllaridae","decapoda","import","Marine areas","Iron",1.41285
"aphanopus carbo","black scabbardfish","aphanopus","Demersal Fish","trichiuridae","perciformes","import","Marine areas","Iron",0.133333333333333
"boops boops","bogue","boops","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",5.46916666666667
"brachydeuterus auritus","bigeye grunt","brachydeuterus","Demersal Fish","haemulidae","percoidei","Capture production","Marine areas","Iron",8.92
"conger myriaster","whitespotted conger","conger","Demersal Fish","congridae","anguilliformes","import","Marine areas","Iron",0.733333333333333
"dentex spp","dentex nei","dentex","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",3.043055
"diplodus sargus","white seabream","diplodus","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",0.458
"gadiformes","gadiformes nei",NA,"Demersal Fish",NA,"gadiformes","import","Marine areas","Iron",1.95977777777778
"genypterus capensis","kingklip","genypterus","Demersal Fish","ophidiidae","ophidiiformes","import","Marine areas","Iron",0.3
"lepidopus caudatus","silver scabbardfish","lepidopus","Demersal Fish","trichiuridae","perciformes","import","Marine areas","Iron",0.24
"lithognathus mormyrus","sand steenbras","lithognathus","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",5.6
"lophius piscatorius","angler(=monk)","lophius","Demersal Fish","lophiidae","lophiiformes","import","Marine areas","Iron",2.88155
"macruronus novaezelandiae","blue grenadier","macruronus","Demersal Fish","merlucciidae","gadiformes","import","Marine areas","Iron",0.416
"merlangius merlangus","whiting","merlangius","Demersal Fish","gadidae","gadiformes","import","Marine areas","Iron",4.13821142857143
"merluccius merluccius","european hake","merluccius","Demersal Fish","merlucciidae","gadiformes","import","Marine areas","Iron",1.60552857142857
"micromesistius poutassou","blue whiting(=poutassou)","micromesistius","Demersal Fish","gadidae","gadiformes","import","Marine areas","Iron",7.625
"pagellus bogaraveo","blackspot(=red) seabream","pagellus","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",0.201854545454545
"prionace glauca","blue shark","prionace","Demersal Fish","carcharhinidae","carcharhiniformes","import","Marine areas","Iron",0.566666666666667
"sebastes mentella","beaked redfish","sebastes","Demersal Fish","sebastidae","scorpaeniformes","import","Marine areas","Iron",0.15
"soleidae","soles nei",NA,"Demersal Fish","soleidae","pleuronectiformes","import","Marine areas","Iron",1.232448
"sparus aurata","gilthead seabream","sparus","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",1.77366666666667
"thyrsites atun","snoek","thyrsites","Demersal Fish","gempylidae","perciformes","import","Marine areas","Iron",0.9
"zeus faber","john dory","zeus","Demersal Fish","zeidae","zeiformes","import","Marine areas","Iron",3.46286666666667
"anguilla anguilla","european eel","anguilla","Freshwater Fish","anguillidae","anguilliformes","import","Marine areas","Iron",0.578648571428571
"chamelea gallina","striped venus","chamelea","Moluscs; Other","veneridae","veneroida","import","Marine areas","Iron",8.4975
"mytilus galloprovincialis","mediterranean mussel","mytilus","Moluscs; Other","mytilidae","mytiloida","import","Marine areas","Iron",7.5585
"ruditapes philippinarum","japanese carpet shell","ruditapes","Moluscs; Other","veneridae","veneroida","import","Marine areas","Iron",6.93333333333333
"engraulis encrasicolus","european anchovy","engraulis","Pelagic Fish","engraulidae","clupeiformes","import","Marine areas","Iron",2.2439
"sardinella spp","sardinellas nei","sardinella","Pelagic Fish","clupeidae","clupeiformes","Capture production","Marine areas","Iron",5.06548285714286
"seriola lalandi","yellowtail amberjack","seriola","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.435
"sphyraena spp","barracudas nei","sphyraena","Pelagic Fish","sphyraenidae","other perciformes","Capture production","Marine areas","Iron",0.151
"thunnus maccoyii","southern bluefin tuna","thunnus","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",1.33333333333333
"trachurus trecae","cunene horse mackerel","trachurus","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",0.84
"crangon crangon","common shrimp","crangon","Crustaceans","crangonidae","decapoda","import","Marine areas","Iron",1.75
"euphausia superba","antarctic krill","euphausia","Crustaceans","euphausiidae","euphausiacea","import","Marine areas","Iron",1
"nephrops norvegicus","norway lobster","nephrops","Crustaceans","nephropidae","decapoda","import","Marine areas","Iron",2.83972222222222
"pandalus borealis","northern prawn","pandalus","Crustaceans","pandalidae","decapoda","import","Marine areas","Iron",0.306
"penaeus kerathurus","caramote prawn","penaeus","Crustaceans","penaeidae","natantia","Capture production","Marine areas","Iron",1.1565
"dentex dentex","common dentex","dentex","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",5.6663
"mustelus spp","smooth-hounds nei","mustelus","Demersal Fish","triakidae","carcharhiniformes","Capture production","Marine areas","Iron",0.4
"psetta maxima","turbot","psetta","Demersal Fish","scophthalmidae","pleuronectiformes","Capture production","Marine areas","Iron",1.04716923076923
