"scientific_name","common_name","genus","category","family","order","production_sector","broad_category","nutrient","value"
"pecten maximus","great atlantic scallop","pecten","Moluscs; Other","pectinidae","ostreoida","import","Marine areas","Iron",1.03333333333333
"perna canaliculus","new zealand mussel","perna","Moluscs; Other","mytilidae","mytiloida","import","Marine areas","Iron",5
"perna viridis","green mussel","perna","Moluscs; Other","mytilidae","mytiloida","import","Marine areas","Iron",7.4752525
"rapana venosa","veined rapa whelk","rapana","Moluscs; Other","muricidae","neogastropoda","import","Marine areas","Iron",4.6647
"tegillarca granosa","blood cockle","tegillarca","Moluscs; Other","arcidae","arcoida","import","Marine areas","Iron",6.8
"turbo cornutus","horned turban","turbo","Moluscs; Other","turbinidae","patellogastropoda","import","Marine areas","Iron",4.375
"alepes djedaba","shrimp scad","alepes","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.504
"amblygaster sirm","spotted sardinella","amblygaster","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",3
"atule mate","yellowtail scad","atule","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",1.9805
"auxis thazard","frigate tuna","auxis","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",5.589
"belone belone","garfish","belone","Pelagic Fish","belonidae","beloniformes","import","Marine areas","Iron",1.385
"carangoides bajad","orangespotted trevally","carangoides","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.31
"carangoides fulvoguttatus","yellowspotted trevally","carangoides","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.40525
"caranx ignobilis","giant trevally","caranx","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.00099
"caranx sexfasciatus","bigeye trevally","caranx","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.850555
"chirocentrus dorab","dorab wolf-herring","chirocentrus","Pelagic Fish","chirocentridae","clupeiformes","import","Marine areas","Iron",5.868175
"chirocentrus nudus","whitefin wolf-herring","chirocentrus","Pelagic Fish","chirocentridae","clupeiformes","import","Marine areas","Iron",0.00024
"cololabis saira","pacific saury","cololabis","Pelagic Fish","scomberesocidae","beloniformes","import","Marine areas","Iron",2.8
"decapterus maruadsi","japanese scad","decapterus","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",1.38125
"dussumieria acuta","rainbow sardine","dussumieria","Pelagic Fish","dussumieriidae","clupeiformes","import","Marine areas","Iron",7.16
"elagatis bipinnulata","rainbow runner","elagatis","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.00067
"engraulidae","anchovies, etc. nei",NA,"Pelagic Fish","engraulidae","clupeiformes","import","Marine areas","Iron",4.49125
"engraulis japonicus","japanese anchovy","engraulis","Pelagic Fish","engraulidae","clupeiformes","import","Marine areas","Iron",3.07142857142857
"engraulis ringens","anchoveta(=peruvian anchovy)","engraulis","Pelagic Fish","engraulidae","clupeiformes","import","Marine areas","Iron",1.4
"euthynnus affinis","kawakawa","euthynnus","Pelagic Fish","scombridae","perciformes","import","Marine areas","Iron",1.8062
"gnathanodon speciosus","golden trevally","gnathanodon","Pelagic Fish","carangidae","perciformes","import","Marine areas","Iron",0.00035
"istiophorus platypterus","indo-pacific sailfish","istiophorus","Pelagic Fish","istiophoridae","perciformes","import","Marine areas","Iron",0.0012
