Parts
f
fhe
w
fbhe
NA
fb
r
unknown
e
raw
m
g
fs
fsb
l
s
skin
muscles
fg
h
trimmings
gutted
flesh and skin
breast
claw
bone
fillet
leg
drained solids
not specified
meat
fillets + skin
meat + skin
whole
solids + bones
solids + liquid
"solids, liquid, bones"
"meat, bone + liquid"
muscle
Muscle
flesh
meat + fat
Meat
tail
"head, rear and the middle"
meat + small bones
middle cut
solids + liquids
marinated
smoked
edible
fin
muscle + bones
d
carne
filete
contenido total
carne drenada
"carne, drenada"
patas carne
"entero, con huesos"
cuerpo
carapacho carne
0
"f, skin"
frame
meat+skin
tail cut
carne con aparato digestivo
carne y aceite
entero
entera
animal entero
colas
sporophyll
frond
stipe
shell
flesh + skin
legs
solids
Flesh
Whole body
meat+ liquid
Cephalothorax
Legs
Cheliped
n
filé
carne sin piel
carne con piel y sin hueso
fhb
fbh
entero con huesos
"carne sin hueso ni piel,animal entero"
hueva
con espinas
huevera
grated
pulpa
íntegro con huesos
meat + subcutaneous fat
"head, eyes, cheeks + soft bones"
Fillet and skinned
arm
tentacle
fill
composite sample for each species
soft tissue
"foot, neck, mantle, adductor muscle, reproductive tissue"
vertebrate
flesh + fat
flesh + bones
cleaned
excluding viscera
no holdings
"whole, no liver"
"muscle, cheeks"
fingerlings
skin+ blubber
dorsal ordinary muscle
Swimming and walking legs
Adductor muscle
trunk
whole body
tail muscle
v
caparazón
músculo ventral
músculo dorsal
tronco
inteiro
lomito
duplet
druplet
"muscle, light meat"
carne de patas y cuerpo
carne de cola
"aletas,tentáculos,tubo"
soma
soft roe
Body meat
Claw meat
carne de pata sólo
lomo
músculo
50% pasta de pescado
