mar_taxa_name,mar_match_key,afcd_match_species,afcd_match_genus,afcd_match_family,afcd_match_order,afcd_match_class,afcd_match_phylum,missing,tonnes
oncorhynchus,oncorhyncus,oncorhyncus,oncorhynchus,NA,NA,NA,NA,0,15768984.22
hippoglossoides platessoides,hippoglossoides platessoides,hippoglossoides platessoides,hippoglossoides,NA,NA,NA,NA,0,15550552.11
decapterus,decapterus,NA,decapterus,NA,NA,NA,NA,0,14901834.77
dosidicus gigas,dosidicus gigas,dosidicus gigas,dosidicus,NA,NA,NA,NA,0,14896511.88
teuthida,teuthida,NA,NA,NA,teuthida,NA,NA,0,14553123.32
trachurus trachurus,trachurus,NA,trachurus,NA,NA,NA,NA,0,14474180.69
merlangius merlangus,merlangius merlangus,merlangius merlangus,merlangius,NA,NA,NA,NA,0,14188347.2
pectinidae,pectinidae,NA,NA,pectinidae,NA,NA,NA,0,13949392.05
cephalopoda,cephalopoda,NA,NA,NA,NA,cephalopoda,NA,0,13876710.83
pleuronectiformes,pleuronectiformes,NA,NA,NA,pleuronectiformes,NA,NA,0,13866549.3
clupea bentincki,clupea bentincki,clupea bentincki,clupea,NA,NA,NA,NA,0,13613797.62
engraulidae,engraulidae,NA,NA,engraulidae,NA,NA,NA,0,13444913.35
pleuronectes platessa,pleuronectes platessa,pleuronectes platessa,pleuronectes,NA,NA,NA,NA,0,13169202.6
trisopterus esmarkii,trisopterus,NA,trisopterus,NA,NA,NA,NA,0,12914413.68
selaroides leptolepis,selaroides leptolepis,selaroides leptolepis,selaroides,NA,NA,NA,NA,0,12716279.94
mugilidae,mugilidae,NA,NA,mugilidae,NA,NA,NA,0,12651183.76
stolephorus,stolephorus,NA,stolephorus,NA,NA,NA,NA,0,12627564.78
dendrobranchiata,NA,NA,NA,NA,NA,NA,NA,1,11950793.11
loliginidae,loliginidae,NA,NA,loliginidae,NA,NA,NA,0,11720423.06
decapoda,decapoda,NA,NA,NA,decapoda,NA,NA,0,11504406.64
octopoda,octopoda,NA,NA,NA,octopoda,NA,NA,0,11375712.34
merluccius productus,merluccius productus,merluccius productus,merluccius,NA,NA,NA,NA,0,11310460.61
harpadon nehereus,harpadon nehereus,harpadon nehereus,harpadon,NA,NA,NA,NA,0,11262404.61
portunus pelagicus,portunus pelagicus,portunus pelagicus,portunus,NA,NA,NA,NA,0,11150362.99
rastrelliger,rastrelliger,NA,rastrelliger,NA,NA,NA,NA,0,11071537.7
pleurogrammus azonus,pleurogrammus azonus,pleurogrammus azonus,pleurogrammus,NA,NA,NA,NA,0,10707164.25
sepiidae,sepiidae,NA,NA,sepiidae,sepiida,NA,NA,0,10371987.25
ammodytes personatus,ammodytes personatus,ammodytes personatus,ammodytes,NA,NA,NA,NA,0,9928984.667
clupeiformes,clupeiformes,NA,NA,NA,clupeiformes,NA,NA,0,9903645.981
scomberomorus commerson,scomberomorus commerson,scomberomorus commerson,scomberomorus,NA,NA,NA,NA,0,9871256.355
rastrelliger brachysoma,rastrelliger brachysoma,rastrelliger brachysoma,rastrelliger,NA,NA,NA,NA,0,9545490.412
decapterus russelli,decapterus,NA,decapterus,NA,NA,NA,NA,0,9487217.037
micropogonias undulatus,micropogonias undulatus,micropogonias undulatus,micropogonias,NA,NA,NA,NA,0,9208389.333
pandalus borealis,pandalus borealis,pandalus borealis,pandalus,NA,NA,NA,NA,0,9082027.145
larimichthys polyactis,larimichthys polyactis,larimichthys polyactis,larimichthys,NA,NA,NA,NA,0,9059846.015
lutjanidae,lutjanidae,NA,NA,lutjanidae,NA,NA,NA,0,8993395.752
decapterus macrosoma,decapterus macrosoma,decapterus macrosoma,decapterus,NA,NA,NA,NA,0,8958758.252
spisula solidissima,spisula solidissima,spisula solidissima,spisula,NA,NA,NA,NA,0,8835699.558
monacanthidae,monacanthidae,NA,NA,monacanthidae,NA,NA,NA,0,8755172.826
auxis,auxis,NA,auxis,NA,NA,NA,NA,0,8721984.258
