"mar_taxa_name","match","tonnes","Genus","Family","Order","Class","genus_count","family_count","order_count","class_count"
"citharichthys sordidus","species",37704.43484,"citharichthys","paralichthyidae","pleuronectiformes","actinopterygii",NA,5,46,896
"enoplolambrus validus",NA,37637.27261,NA,NA,NA,NA,NA,NA,NA,NA
"lachnolaimus maximus","species",34884.63868,"lachnolaimus","labridae","perciformes","actinopterygii",NA,12,548,896
"choromytilus chorus",NA,33744.63333,NA,NA,NA,NA,NA,NA,NA,NA
"anomura",NA,33543.19056,NA,NA,NA,NA,NA,NA,NA,NA
"nematopalaemon schmitti",NA,33331.2859,NA,NA,NA,NA,NA,NA,NA,NA
"austroglossus pectoralis","species",33216,"austroglossus","soleidae","pleuronectiformes","actinopterygii",NA,3,46,896
"geryon",NA,30621.20234,NA,NA,NA,NA,NA,NA,NA,NA
"amphiarius phrygiatus","species",30526.55065,"amphiarius","ariidae","siluriformes","actinopterygii",NA,7,9,896
"torpedinidae","family",28117.69333,NA,NA,NA,NA,NA,NA,NA,NA
"centriscidae","family",27312.75553,NA,NA,NA,NA,NA,NA,NA,NA
"hexanchus griseus","species",26193.93657,"hexanchus","hexanchidae","hexanchiformes","elasmobranchii",NA,NA,NA,79
"holocentrus adscensionis","species",26096.64512,"holocentrus","holocentridae","beryciformes","actinopterygii",NA,9,13,896
"leukoma staminea",NA,25882.11918,NA,NA,NA,NA,NA,NA,NA,NA
"pseudochaenichthys georgianus","species",25400.12425,"pseudochaenichthys","channichthyidae","perciformes","actinopterygii",NA,3,548,896
"eucinostomus gracilis","species",25396.88541,"eucinostomus","gerreidae","perciformes","actinopterygii",NA,7,548,896
"orthopristis chrysoptera","species",25106.02793,"orthopristis","haemulidae","perciformes","actinopterygii",NA,27,548,896
"meuschenia scaber","species",24317.08633,"meuschenia","monacanthidae","tetraodontiformes","actinopterygii",NA,2,10,896
"callista chione",NA,23629.07743,NA,NA,NA,NA,NA,NA,NA,NA
"haliporoides diomedeae",NA,21631.41976,NA,NA,NA,NA,NA,NA,NA,NA
"austroglossus","genus",21386.77746,NA,NA,NA,NA,NA,NA,NA,NA
"mactromeris polynyma",NA,21045,NA,NA,NA,NA,NA,NA,NA,NA
"muraena helena","species",20748.55546,"muraena","muraenidae","anguilliformes","actinopterygii",NA,3,11,896
"tautogolabrus adspersus","species",20414.5228,"tautogolabrus","labridae","perciformes","actinopterygii",NA,12,548,896
"haliporoides sibogae",NA,19876.53152,NA,NA,NA,NA,NA,NA,NA,NA
"argyrozona argyrozona","species",19753,"argyrozona","sparidae","perciformes","actinopterygii",NA,42,548,896
"gymnosarda unicolor","species",19677.65282,"gymnosarda","scombridae","perciformes","actinopterygii",NA,37,548,896
"zidona dufresnei",NA,19281.83463,NA,NA,NA,NA,NA,NA,NA,NA
"hyporthodus flavolimbatus","species",19195.92416,"hyporthodus","serranidae","perciformes","actinopterygii",NA,57,548,896
"hyporthodus nigritus","species",17061.32983,"hyporthodus","serranidae","perciformes","actinopterygii",NA,57,548,896
"chaetodipterus zonatus","species",16559.74979,"chaetodipterus","ephippidae","perciformes","actinopterygii",NA,NA,548,896
"albulidae","family",16551.81495,NA,NA,NA,NA,NA,NA,NA,NA
"hyporthodus niveatus","species",16072.13249,"hyporthodus","serranidae","perciformes","actinopterygii",NA,57,548,896
"plagiogeneion rubiginosum","species",15369.32901,"plagiogeneion","emmelichthyidae","perciformes","actinopterygii",NA,1,548,896
"negaprion brevirostris","species",15044.79414,"negaprion","carcharhinidae","carcharhiniformes","elasmobranchii",NA,19,32,79
"psettichthys melanostictus","species",14252.19675,"psettichthys","pleuronectidae","pleuronectiformes","actinopterygii",NA,22,46,896
"goneplax rhomboides",NA,13798.72252,NA,NA,NA,NA,NA,NA,NA,NA
"pseudocyttus maculatus","species",13648.07141,"pseudocyttus","oreosomatidae","zeiformes","actinopterygii",NA,NA,5,896
"sagmariasus verreauxi",NA,13362.91984,NA,NA,NA,NA,NA,NA,NA,NA
"somniosus microcephalus","species",13188.54594,"somniosus","somniosidae","squaliformes","elasmobranchii",NA,2,12,79
"harengula jaguana","species",12746.05284,"harengula","clupeidae","clupeiformes","actinopterygii",NA,38,66,896
"leptoscarus vaigiensis","species",12634.06872,"leptoscarus","scaridae","perciformes","actinopterygii",NA,14,548,896
"neocyttus rhomboidalis","species",12368.94487,"neocyttus","oreosomatidae","zeiformes","actinopterygii",NA,NA,5,896
"bollmannia chlamydes","species",12172.70999,"bollmannia","gobiidae","perciformes","actinopterygii",NA,2,548,896
"hipposcarus longiceps","species",11713.13333,"hipposcarus","scaridae","perciformes","actinopterygii",NA,14,548,896
"eucinostomus argenteus","species",11511.54967,"eucinostomus","gerreidae","perciformes","actinopterygii",NA,7,548,896
"scorpaenichthys marmoratus","species",11338.04628,"scorpaenichthys","cottidae","scorpaeniformes","actinopterygii",NA,1,41,896
"carcharodon carcharias","species",11012.2619,"carcharodon","lamnidae","lamniformes","elasmobranchii",NA,3,4,79
"petromyzontidae","family",10653.96136,NA,NA,NA,NA,NA,NA,NA,NA
"zenarchopterus dispar","species",10650.713,"zenarchopterus","zenarchopteridae","beloniformes","actinopterygii",NA,NA,8,896
"hyporthodus mystacinus","species",10222.6203,"hyporthodus","serranidae","perciformes","actinopterygii",NA,57,548,896
"bairdiella ronchus","species",9746.043053,"bairdiella","sciaenidae","perciformes","actinopterygii",NA,57,548,896
"pempheridae","family",9694.676845,NA,NA,NA,NA,NA,NA,NA,NA
"diodon","genus",9595.573601,NA,NA,NA,NA,NA,NA,NA,NA
"echidna nebulosa","species",9039.074366,"echidna","muraenidae","anguilliformes","actinopterygii",NA,3,11,896
"microgadus tomcod","species",8776.586774,"microgadus","gadidae","gadiformes","actinopterygii",NA,14,49,896
"ctenosciaena gracilicirrhus","species",8141.43476,"ctenosciaena","sciaenidae","perciformes","actinopterygii",NA,57,548,896
"schedophilus pemarco","species",7895.877864,"schedophilus","centrolophidae","perciformes","actinopterygii",NA,6,548,896
"rhincodon typus","species",7780.285501,"rhincodon","rhincodontidae","orectolobiformes","elasmobranchii",NA,NA,1,79
"clinocardium nuttallii",NA,7460.913158,NA,NA,NA,NA,NA,NA,NA,NA
"inermiidae",NA,7151.768449,NA,NA,NA,NA,NA,NA,NA,NA
"centrolophus niger","species",7136.688692,"centrolophus","centrolophidae","perciformes","actinopterygii",NA,6,548,896
"lepidocybium flavobrunneum","species",7071.442317,"lepidocybium","gempylidae","perciformes","actinopterygii",NA,3,548,896
"halargyreus johnsonii","species",6514.841091,"halargyreus","moridae","gadiformes","actinopterygii",NA,4,49,896
"campogramma glaycos","species",6309.792352,"campogramma","carangidae","perciformes","actinopterygii",NA,64,548,896
"cheilopogon unicolor","species",5555.273351,"cheilopogon","exocoetidae","beloniformes","actinopterygii",NA,NA,8,896
"pterygotrigla polyommata","species",5273.606684,"pterygotrigla","triglidae","scorpaeniformes","actinopterygii",NA,9,41,896
"engyophrys sanctilaurentii","species",5223.570974,"engyophrys","bothidae","pleuronectiformes","actinopterygii",NA,3,46,896
"pronotogrammus eos","species",5223.570974,"pronotogrammus","serranidae","perciformes","actinopterygii",NA,57,548,896
"echeneidae","family",5134.194788,NA,NA,NA,NA,NA,NA,NA,NA
"echinozoa",NA,5094.473025,NA,NA,NA,NA,NA,NA,NA,NA
"tellinidae",NA,5085.814245,NA,NA,NA,NA,NA,NA,NA,NA
"hippopus hippopus",NA,5032.325154,NA,NA,NA,NA,NA,NA,NA,NA
"nezumia aequalis","species",4974.205985,"nezumia","macrouridae","gadiformes","actinopterygii",NA,7,49,896
"pristidae","family",4797.214376,NA,NA,NA,NA,NA,NA,NA,NA
"pseudopentaceros richardsoni",NA,4544.17474,NA,NA,NA,NA,NA,NA,NA,NA
"neritidae",NA,4154.641315,NA,NA,NA,NA,NA,NA,NA,NA
"terebridae",NA,4021.87719,NA,NA,NA,NA,NA,NA,NA,NA
"bolbometopon muricatum","species",3793.508868,"bolbometopon","scaridae","perciformes","actinopterygii",NA,14,548,896
"bairdiella chrysoura","species",3598.559237,"bairdiella","sciaenidae","perciformes","actinopterygii",NA,57,548,896
"asaphis violascens",NA,3462.576494,NA,NA,NA,NA,NA,NA,NA,NA
"bathygobius soporator","species",3456.278159,"bathygobius","gobiidae","perciformes","actinopterygii",NA,2,548,896
"chaceon affinis",NA,3429.718347,NA,NA,NA,NA,NA,NA,NA,NA
"benthodesmus","genus",3353.621289,NA,NA,NA,NA,NA,NA,NA,NA
"hoplopagrus guentherii","species",3105.6335,"hoplopagrus","lutjanidae","perciformes","actinopterygii",NA,40,548,896
"herklotsichthys quadrimaculatus","species",3102.644724,"herklotsichthys","clupeidae","clupeiformes","actinopterygii",NA,38,66,896
"hippocampus","genus",2893.812731,NA,NA,NA,NA,NA,NA,NA,NA
"epigonus","genus",2829.611188,NA,NA,NA,NA,NA,NA,NA,NA
"vimba","genus",2773.677104,NA,NA,NA,NA,NA,NA,NA,NA
"rostroraja alba","species",2508.681578,"rostroraja","rajidae","rajiformes","elasmobranchii",NA,17,24,79
"alepisaurus ferox","species",2479.794051,"alepisaurus","alepisauridae","aulopiformes","actinopterygii",NA,NA,6,896
"liocarcinus depurator",NA,2384.348434,NA,NA,NA,NA,NA,NA,NA,NA
"notorynchus cepedianus","species",2272.760636,"notorynchus","hexanchidae","hexanchiformes","elasmobranchii",NA,NA,NA,79
"oxynotus centrina","species",2235.327984,"oxynotus","oxynotidae","squaliformes","elasmobranchii",NA,NA,12,79
"zearaja nasuta","species",2149.525,"zearaja","rajidae","rajiformes","elasmobranchii",NA,17,24,79
"pterygotrigla","genus",2029.157766,NA,NA,NA,NA,NA,NA,NA,NA
"dorosoma","genus",1821.851556,NA,NA,NA,NA,NA,NA,NA,NA
"gymnocephalus cernua","species",1791.635396,"gymnocephalus","percidae","perciformes","actinopterygii",NA,2,548,896
"dosinia",NA,1678.307129,NA,NA,NA,NA,NA,NA,NA,NA
"holocentrus rufus","species",1619.78637,"holocentrus","holocentridae","beryciformes","actinopterygii",NA,9,13,896
"uraspis secunda","species",1600.247483,"uraspis","carangidae","perciformes","actinopterygii",NA,64,548,896
"lunarca ovalis",NA,1555.740529,NA,NA,NA,NA,NA,NA,NA,NA
"scomberesocidae","family",1514.75,NA,NA,NA,NA,NA,NA,NA,NA
"cheimerius nufar","species",1500,"cheimerius","sparidae","perciformes","actinopterygii",NA,42,548,896
"microchirus variegatus","species",1395.657679,"microchirus","soleidae","pleuronectiformes","actinopterygii",NA,3,46,896
"microgadus proximus","species",1382.992803,"microgadus","gadidae","gadiformes","actinopterygii",NA,14,49,896
"cantherhines","genus",1381.145956,NA,NA,NA,NA,NA,NA,NA,NA
"trigloporus lastoviza",NA,1363.851308,NA,NA,NA,NA,NA,NA,NA,NA
"cephaloscyllium isabellum","species",1321.705808,"cephaloscyllium","scyliorhinidae","carcharhiniformes","elasmobranchii",NA,3,32,79
"pollicipes pollicipes",NA,1240.500641,NA,NA,NA,NA,NA,NA,NA,NA
"chione stutchburyi",NA,1206.366072,NA,NA,NA,NA,NA,NA,NA,NA
"aethaloperca rogaa","species",1152.441201,"aethaloperca","serranidae","perciformes","actinopterygii",NA,57,548,896
"gnathodentex aureolineatus","species",1127.716897,"gnathodentex","lethrinidae","perciformes","actinopterygii",NA,15,548,896
"parribacus caledonicus",NA,1118.734795,NA,NA,NA,NA,NA,NA,NA,NA
"gymnocranius grandoculis","species",1108.623441,"gymnocranius","lethrinidae","perciformes","actinopterygii",NA,15,548,896
"rioraja agassizii","species",1096,"rioraja","arhynchobatidae","rajiformes","elasmobranchii",NA,7,24,79
"promethichthys prometheus","species",1064.845432,"promethichthys","gempylidae","perciformes","actinopterygii",NA,3,548,896
"schedophilus ovalis","species",1013.28046,"schedophilus","centrolophidae","perciformes","actinopterygii",NA,6,548,896
"scymnodon ringens","species",985.9683412,"scymnodon","somniosidae","squaliformes","elasmobranchii",NA,2,12,79
"zebrasoma flavescens","species",952.225595,"zebrasoma","acanthuridae","perciformes","actinopterygii",NA,17,548,896
"sympterygia bonapartii","species",930,"sympterygia","arhynchobatidae","rajiformes","elasmobranchii",NA,7,24,79
"caulolatilus chrysops","species",923.2192548,"caulolatilus","malacanthidae","perciformes","actinopterygii",NA,1,548,896
"paralomis spinosissima",NA,910.0787348,NA,NA,NA,NA,NA,NA,NA,NA
