"mar_taxa_name","match","tonnes","Genus","Family","Order","Class","genus_count","family_count","order_count","class_count"
"trachyscorpia cristulata echinata","species",16.98282641,"trachyscorpia","sebastidae","scorpaeniformes","actinopterygii",NA,16,41,896
"wattsia mossambica","species",10.5056,"wattsia","lethrinidae","perciformes","actinopterygii",NA,15,548,896
"amblyraja hyperborea","species",10,"amblyraja","rajidae","rajiformes","elasmobranchii",NA,17,24,79
"paracaesio kusakarii","species",5.806508775,"paracaesio","lutjanidae","perciformes","actinopterygii",NA,40,548,896
"amblyraja georgiana","species",3.971235994,"amblyraja","rajidae","rajiformes","elasmobranchii",NA,17,24,79
"paracaesio stonei","species",3.055421051,"paracaesio","lutjanidae","perciformes","actinopterygii",NA,40,548,896
"oxynotus paradoxus","species",3.054074535,"oxynotus","oxynotidae","squaliformes","elasmobranchii",NA,NA,12,79
"conidae",NA,2.316037764,NA,NA,NA,NA,NA,NA,NA,NA
"rhinochimaera atlantica","species",2.25,"rhinochimaera","rhinochimaeridae","chimaeriformes","holocephali",NA,NA,6,6
"paracirrhites forsteri","species",2.24775037,"paracirrhites","cirrhitidae","perciformes","actinopterygii",NA,1,548,896
"muraenolepis","genus",1.492904523,NA,NA,NA,NA,NA,NA,NA,NA
"novaculichthys taeniourus","species",0.692360515,"novaculichthys","labridae","perciformes","actinopterygii",NA,12,548,896
"sphoeroides marmoratus","species",0.666906722,"sphoeroides","tetraodontidae","tetraodontiformes","actinopterygii",NA,2,10,896
"cheilio inermis","species",0.605635074,"cheilio","labridae","perciformes","actinopterygii",NA,12,548,896
"symphorichthys spilurus","species",0.429268274,"symphorichthys","lutjanidae","perciformes","actinopterygii",NA,40,548,896
"anomalops katoptron","species",0.318855931,"anomalops","anomalopidae","beryciformes","actinopterygii",NA,NA,13,896
"muraenolepis microps","species",0.296598238,"muraenolepis","muraenolepididae","gadiformes","actinopterygii",NA,NA,49,896
"chitonidae",NA,0.23020049,NA,NA,NA,NA,NA,NA,NA,NA
"bellator militaris","species",0.19479,"bellator","triglidae","scorpaeniformes","actinopterygii",NA,9,41,896
"cypraeidae",NA,0.191161011,NA,NA,NA,NA,NA,NA,NA,NA
"paracaesio xanthura","species",0.1163,"paracaesio","lutjanidae","perciformes","actinopterygii",NA,40,548,896
"hexabranchus sanguineus",NA,0.077541579,NA,NA,NA,NA,NA,NA,NA,NA
"zanclorhynchus spinifer","species",0.051006,"zanclorhynchus","congiopodidae","scorpaeniformes","actinopterygii",NA,NA,41,896
"archaeogastropoda",NA,0.017268439,NA,NA,NA,NA,NA,NA,NA,NA
"daldorfia horrida",NA,0.007039826,NA,NA,NA,NA,NA,NA,NA,NA
"paralomis aculeata",NA,0.00667,NA,NA,NA,NA,NA,NA,NA,NA
"tectus pyramis",NA,0.003651458,NA,NA,NA,NA,NA,NA,NA,NA
"neopagetopsis ionah","species",0.001908,"neopagetopsis","channichthyidae","perciformes","actinopterygii",NA,3,548,896
"bathydraconidae","family",0.00109,NA,NA,NA,NA,NA,NA,NA,NA
"antennatus coccineus","species",0.000938946,"antennatus","antennariidae","lophiiformes","actinopterygii",NA,NA,6,896
"chionobathyscus dewitti","species",0.00061,"chionobathyscus","channichthyidae","perciformes","actinopterygii",NA,3,548,896
"corythoichthys intestinalis","species",0.000131543,"corythoichthys","syngnathidae","syngnathiformes","actinopterygii",NA,NA,2,896
